img,last_position,peak_position,rank,singer,title,weaks_on_charts
https://charts-static.billboard.com/img/2022/08/armaniwhite-000-billieeilish-zjv-180x180.jpg,97,87,97,Armani White,Billie Eilish.,6
https://charts-static.billboard.com/img/2012/11/sam-smith-ik0-180x180.jpg,98,94,98,Sam Smith,I'm Not The Only One,8
https://charts-static.billboard.com/img/2022/06/baileyzimmerman-qt3-rockandahardplace-zsw-180x180.jpg,99,59,99,Bailey Zimmerman,Rock And A Hard Place,18
https://charts-static.billboard.com/img/2005/11/arctic-monkeys-a3g-106x106.jpg,100,94,100,Arctic Monkeys,505,34
https://charts-static.billboard.com/img/2022/04/shakira-snl-te-felicito-ncz-180x180.jpg,101,11,101,Shakira & Rauw Alejandro,Te Felicito,25
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,102,102,102,Pablo Pesadilla x Polima Westcoast x Nicko OG,Baby Otaku,3
https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg,103,70,103,Billie Eilish & Khalid,Lovely,110
https://charts-static.billboard.com/img/2010/07/guns-n-roses-tp2-sweet-child-o-mine-jcn-180x180.jpg,104,57,104,Guns N' Roses,Sweet Child O' Mine,79
https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg,105,41,105,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),110
https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-w6n-180x180.jpg,106,9,106,Harry Styles,Watermelon Sugar,110
https://charts-static.billboard.com/img/2022/09/kane-brown-dqa-thankgod-rh9-180x180.jpg,107,62,107,Kane Brown With Katelyn Brown,Thank God,5
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,108,66,108,Lasso,Ojos Marrones,15
https://charts-static.billboard.com/img/2018/01/jack-harlow-i43-180x180.jpg,109,2,109,Jack Harlow,First Class,27
https://charts-static.billboard.com/img/2013/07/eminem-1xq-180x180.jpg,110,39,110,Eminem,Without Me,53
https://charts-static.billboard.com/img/2018/04/calvin-harris-ds5-one-kiss-jk6-180x180.jpg,111,43,111,Calvin Harris & Dua Lipa,One Kiss,20
https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg,112,59,112,Lady Gaga & Bradley Cooper,Shallow,110
https://charts-static.billboard.com/img/2013/11/lizzo-w3u-180x180.jpg,113,101,113,Lizzo,2 Be Loved (Am I Ready),6
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,114,114,114,Quevedo,Vista Al Mar,4
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,115,17,115,Bad Bunny & Tony Dize,La Corriente,23
https://charts-static.billboard.com/img/2022/06/ado-27l-newgenesis-vea-180x180.jpg,116,20,116,Ado,New Genesis,11
https://charts-static.billboard.com/img/2009/12/j-cole-9on-180x180.jpg,117,97,117,J. Cole,No Role Modelz,69
https://charts-static.billboard.com/img/2021/11/gayle-hce-abcdefu-y97-180x180.jpg,118,1,118,GAYLE,abcdefu,48
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,119,113,119,Kordhell,Murder In My Mind,9
https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg,120,97,120,The Weeknd,Call Out My Name,17
https://charts-static.billboard.com/img/2013/07/arctic-monkeys-a3g-106x106.jpg,121,119,121,Arctic Monkeys,Do I Wanna Know?,21
https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg,122,119,122,The Weeknd Featuring Gesaffelstein,I Was Never There,12
https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg,123,49,123,Post Malone,Circles,110
https://charts-static.billboard.com/img/2022/10/dean-lewis-j7t-howdoisaygoodbye-omz-180x180.jpg,124,124,124,Dean Lewis,How Do I Say Goodbye,2
